2025-07-24 06:26:46,373 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:26:46,541 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:26:49,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338409831}
2025-07-24 06:26:56,373 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:26:56,541 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:26:59,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338419831}
2025-07-24 06:27:06,374 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:27:06,542 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:27:09,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338429831}
2025-07-24 06:27:16,374 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:27:16,542 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:27:19,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338439831}
2025-07-24 06:27:26,376 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:27:26,543 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:27:29,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338449831}
2025-07-24 06:27:36,376 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:27:36,544 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:27:39,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338459831}
2025-07-24 06:27:46,377 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:27:46,546 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:27:49,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338469831}
2025-07-24 06:27:56,378 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
